Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tariq Abdul-Wahad\abdulta01,SG,28,DAL,14,204,12.4,0.47,0.017,0.103,7.6,14,10.8,15.4,1.5,1.1,10.3,15,,0.2,0.2,0.4,0.104,,-1.6,0.2,-1.4,0
2,Shareef Abdur-Rahim\abdursh01,PF,26,ATL,81,3087,19.9,0.566,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13,24.2,,7.4,2.3,9.7,0.151,,2.3,-0.7,1.6,2.8
3,Courtney Alexander\alexaco02,PG,25,NOH,66,1360,9.3,0.459,0.113,0.289,3.3,6.8,5,9.8,1.2,0.3,10.7,21.3,,0.1,1,1.1,0.04,,-3.3,-1.2,-4.5,-0.9
4,Malik Allen\allenma01,PF,24,MIA,80,2318,9.9,0.455,0.005,0.153,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,,-1.7,2.6,0.9,0.018,,-3.9,-0.4,-4.4,-1.4
5,Ray Allen*\allenra02,SG,27,TOT,76,2880,21.3,0.565,0.391,0.253,3.8,11.8,7.8,21.6,1.9,0.4,11.6,27.8,,7.6,1.5,9.1,0.152,,4.7,-1,3.6,4.1
5,Ray Allen*\allenra02,SG,27,MIL,47,1683,19.9,0.564,0.387,0.243,3.1,12.1,7.6,17.5,1.8,0.5,11.6,27.8,,3.8,0.5,4.3,0.123,,3.4,-1.9,1.6,1.5
5,Ray Allen*\allenra02,SG,27,SEA,29,1197,23.3,0.567,0.396,0.268,4.7,11.4,8,27.3,2.1,0.2,11.5,27.7,,3.8,1,4.8,0.193,,6.4,0.2,6.6,2.6
6,Rafer Alston\alstora01,PG,26,TOR,47,980,14.4,0.51,0.388,0.161,2.3,10.4,6.2,34,2.1,1.1,19.3,20.7,,0.7,0.5,1.2,0.059,,0.2,-1,-0.8,0.3
7,John Amaechi\amaecjo01,C,32,UTA,50,474,3.1,0.351,0,0.441,6.9,12.5,9.8,6.8,1.6,1.1,19.4,17,,-1.1,0.4,-0.7,-0.07,,-6.4,-1.6,-8,-0.7
8,Chris Andersen\anderch01,C,24,DEN,59,907,14,0.44,0.004,0.491,13.3,22.3,17.6,6.3,1.7,5.3,14.8,19.9,,-0.5,1.7,1.1,0.059,,-2.4,0.4,-2,0
9,Derek Anderson\anderde01,PG,28,POR,76,2556,16.9,0.556,0.398,0.323,2.5,10,6.2,20.7,1.9,0.5,11.9,19.5,,5.9,2.2,8.1,0.153,,2.2,0.1,2.3,2.8
10,Kenny Anderson\anderke01,PG,32,TOT,61,1135,13.6,0.457,0.018,0.149,3.2,10.6,6.8,29.8,2.8,0.3,15.6,19.7,,0.4,1.3,1.6,0.069,,-1.9,0.9,-1,0.3
10,Kenny Anderson\anderke01,PG,32,SEA,38,689,15.9,0.471,0.022,0.151,2.9,12.1,7.4,30.3,3.2,0.1,11.8,19.1,,0.7,0.8,1.5,0.107,,-1,1.5,0.5,0.4
10,Kenny Anderson\anderke01,PG,32,NOH,23,446,10.2,0.435,0.013,0.147,3.6,8.2,5.9,29,2.2,0.6,20.8,20.6,,-0.4,0.5,0.1,0.009,,-3.3,-0.1,-3.3,-0.2
11,Shandon Anderson\andersh01,SF,29,NYK,82,1731,13.4,0.553,0.261,0.354,4.2,13.2,8.6,8.3,2.2,0.8,15.5,19.6,,1.2,1.4,2.7,0.074,,-0.6,0.2,-0.3,0.7
12,Robert Archibald\archiro01,PF,22,MEM,12,72,2.4,0.34,0,0.9,9.5,17,13.3,6.1,0,2.9,20,21.8,,-0.3,0,-0.2,-0.158,,-8.8,-3.3,-12,-0.2
13,Gilbert Arenas\arenagi01,PG,21,GSW,82,2866,18.6,0.54,0.265,0.397,3.6,10.6,7.2,30,2.2,0.4,17.3,24.9,,5.8,0.7,6.5,0.109,,2.6,-1.3,1.3,2.4
